2022S3,Ukraine,220
2022S3,Russia,136
2022S3,UK,41
2022S3,India,33
2022S3,Cambodia,32
2022S3,China,23
2022S3,Poland,21
2022S3,Germany,20
2022S4,Ukraine,193
2022S4,Russia,134
2022S4,UK,83
2022S4,Cambodia,42
2022S4,China,36
2022S4,India,31
2022S4,Germany,25
2022S4,Poland,13
2023S1,Ukraine,146
2023S1,UK,136
2023S1,Russia,104
2023S1,Cambodia,56
2023S1,China,34
2023S1,Germany,29
2023S1,Poland,25
2023S1,India,15
2023S2,UK,155
2023S2,Ukraine,104
2023S2,Russia,71
2023S2,China,37
2023S2,Cambodia,29
2023S2,India,16
2023S2,Germany,15
2023S2,Poland,8
2023S3,UK,195
2023S3,Ukraine,51
2023S3,Russia,40
2023S3,Germany,19
2023S3,China,14
2023S3,Poland,13
2023S3,Cambodia,1
